2875,Liechtenstein,lie,Europe & Central Asia,High income,Vaduz,9.52148,47.1411
2971,West Bank and Gaza,pse,Middle East & North Africa,Lower middle income,,31.5253,34.5342
3076,"Korea, Rep.",kor,East Asia & Pacific,High income,Seoul,126.957,37.5323
,"Congo, Rep. (Zaire)",zai,Sub-Saharan Africa ,Lower middle income,Brazzaville,15.2662,-4.2767
,Angola,ang,Sub-Saharan Africa ,Low income,Luanda,-8.8147,13.2302
,Pitcairn Islands,pcn,East Asia & Pacific,Lower middle income,Adamstown,-24.2939,-126.3334
,French Guiana,guf,Latin America & Caribbean ,Lower middle income,Cayenne,3.9339,-53.1258
,Norfolk Island,nfk,East Asia & Pacific,Lower middle income,Kingston,-29.0408,167.9547
,Cook Islands,cok,East Asia & Pacific,Lower middle income,Avarua,-15.591,-159.1210
,Western Sahara,esh,Middle East & North Africa,Lower middle income,El-Aaiun,24.1319,-12.5312
,Tokelau,tkl,East Asia & Pacific,Low income,Nukunonu,-8.582,-171.5119
,Niue,niu,East Asia & Pacific,Low income,Alofi,-19.35,169.51
