ID,Name,Countries,Country Codes,ISO639-3 Codes,Degree of endangerment,Number of speakers,Latitude,Longitude,Description of the location
839,Migueleño,United States of America,USA,sln,Extinct,0,35.7587,-120.6951,"Mission San Miguel, in northern San Luis Obispo County, CA."
1896,Subtiaba,Nicaragua,NIC,sut,Extinct,0,12.5266,-86.667,Planos de León
2621,Seru,Malaysia,MYS,szd,Extinct,0,1.9195,111.2049,"In Kabong, 2nd division, Sarawak"
560,Taman,Myanmar,MMR,tcl,Extinct,0,25.1651,95.2514,
2064,Tetete,Ecuador,ECU,teb,Extinct,0,-0.0109,-76.5966,"Near the Colombian border, eastern jungle in Cofán area"
1738,Togoyo,Sudan,SDN,tgy,Extinct,0,8.5049,24.7961,
799,Tillamook,United States of America,USA,til,Extinct,0,45.3449,-123.5309,"Along the northwest coast of Oregon, from the Nehalem River to the Siletz River."
16,Tonjon,Côte d'Ivoire,CIV,tjn,Extinct,0,8.4397,-4.3807,
2568,Tandia,Indonesia,IDN,tni,Extinct,0,-2.8552,134.522,West Papua Province
2204,Lishan Didan (Iran),Iran (Islamic Republic of),IRN,trg,Extinct,0,37.9615,44.6044,Iranian Azerbaijan and southeast Turkey
1815,Torá,Brazil,BRA,trz,Extinct,0,-6.6646,-61.4135,
1534,Tunica,United States of America,USA,tun,Extinct,0,31.1262,-92.0673,"Marksville, Avoyelles Parish, LA."
778,Tututni,United States of America,USA,tuu,Extinct,0,42.5756,-124.0688,
2612,Te'un (Te'un Island),Indonesia,IDN,tve,Extinct,0,-6.9809,129.1394,"Transmigration area in south central Seram Island, Central Maluku, from Te'un Island, South Maluku, because of volcanic activities"
794,Twana,United States of America,USA,twa,Extinct,0,47.3344,-123.1607,
2400,Tsetsaut,Canada,CAN,txc,Extinct,0,55.936,-129.9911,
644,Ubykh (Caucasus),Russian Federation,RUS,uby,Extinct,0,43.5585,39.8597,originally the Black Sea coast north from Khosta in what is now the southernmost part of Krasnodar Region
1062,Ubykh (Turkey),Turkey,TUR,uby,Extinct,0,40.0402,28.0096,émigré communities since 1864; the last speaker was from the village of Hacı Osman Köyü near the Sea of Marmara
1811,Umutina,Brazil,BRA,umo,Extinct,0,-15.0425,-57.1026,"Brazil, western Mato Grosso State, on the Bugres River (a
tributary of the Paraguay), about 130 kms. to the northeast of Cuiabá, Alto Paraguai and Barra do Bugres municipalities, Terra Indígena Umutina."
2709,Uruava,Papua New Guinea,PNG,urv,Extinct,0,-5.9821,155.3137,"Northeastern coast of Bongainville Island, Bougainville Province"
2046,Kulun,China,CHN,uun,Extinct,0,24.9823,121.3591,Taiwan Province
856,Ventureño,United States of America,USA,veo,Extinct,0,34.2809,-119.2979,
662,Vilela,Argentina,ARG,vil,Extinct,0,-26.9808,-59.6777,"East central Chaco Province near Paraguay border, also in Santa Fe and Buenos Aires. "
2600,Moksela,Indonesia,IDN,vms,Extinct,0,-3.4654,127.1694,"Buru Island, Maluku"
850,Wappo,United States of America,USA,wao,Extinct,0,38.8701,-122.5154,
774,Wiyot,United States of America,USA,wiy,Extinct,0,40.5984,-124.2519,
121,Kw'adza,United Republic of Tanzania,TZA,wka,Extinct,0,-5.3753,35.8621,
782,Eel River Athabaskan,United States of America,USA,wlk,Extinct,0,40.188,-123.6477,Formerly spoken along the Eel River and its major tributaries in Humboldt and Mendocino Counties.
1537,Huron-Wyandot (United States of America),United States of America,USA,wya,Extinct,0,36.7923,-94.7229,"Huron and Wyandotte is the same language. The last speakers were in the  Wyandotte Tribe of Oklahoma, and Huron settled at Lorette, near Quebec City."
136,|Xam,South Africa,ZAF,xam,Extinct,0,-32.2853,20.759,
2677,Karami,Papua New Guinea,PNG,xar,Extinct,0,-7.1335,143.8659,Gulf Province next to Western Province
